1549.620000,6.5040E-006,1549.620000,8.7470E-006,1549.620000,4.6820E-006,1549.620000,4.1830E-006,1549.620000,3.3350E-006,1549.620000,2.0150E-006,1549.620000,2.1490E-006,1549.620000,2.1140E-006,1549.620000,1.4170E-006,1549.620000,1.3310E-006
1549.635000,6.8260E-006,1549.635000,1.0500E-005,1549.635000,5.0920E-006,1549.635000,3.7860E-006,1549.635000,3.2130E-006,1549.635000,2.2320E-006,1549.635000,2.2110E-006,1549.635000,1.2400E-006,1549.635000,1.4510E-006,1549.635000,9.2380E-007
1549.650000,8.1510E-006,1549.650000,8.7090E-006,1549.650000,5.2040E-006,1549.650000,3.5550E-006,1549.650000,3.2000E-006,1549.650000,2.2000E-006,1549.650000,2.1960E-006,1549.650000,1.8980E-006,1549.650000,1.3990E-006,1549.650000,1.1840E-006
1549.665000,6.8830E-006,1549.665000,6.3370E-006,1549.665000,4.1700E-006,1549.665000,4.2280E-006,1549.665000,2.8910E-006,1549.665000,2.4880E-006,1549.665000,2.1790E-006,1549.665000,1.3050E-006,1549.665000,1.6700E-006,1549.665000,8.3220E-007
1549.680000,7.3730E-006,1549.680000,6.3060E-006,1549.680000,5.0580E-006,1549.680000,4.2780E-006,1549.680000,3.3590E-006,1549.680000,2.3930E-006,1549.680000,2.2190E-006,1549.680000,1.8960E-006,1549.680000,1.2580E-006,1549.680000,1.2790E-006
1549.695000,9.3180E-006,1549.695000,7.6630E-006,1549.695000,6.1550E-006,1549.695000,4.4010E-006,1549.695000,3.1390E-006,1549.695000,2.6480E-006,1549.695000,2.0420E-006,1549.695000,1.9300E-006,1549.695000,1.5470E-006,1549.695000,1.4290E-006
1549.710000,1.3710E-005,1549.710000,6.6840E-006,1549.710000,7.4010E-006,1549.710000,4.0560E-006,1549.710000,3.4430E-006,1549.710000,2.3800E-006,1549.710000,2.1450E-006,1549.710000,1.2750E-006,1549.710000,9.7530E-007,1549.710000,9.6820E-007
1549.725000,1.2640E-005,1549.725000,5.7520E-006,1549.725000,6.1640E-006,1549.725000,3.9290E-006,1549.725000,2.8810E-006,1549.725000,2.6040E-006,1549.725000,2.3590E-006,1549.725000,1.8270E-006,1549.725000,1.8740E-006,1549.725000,1.1740E-006
1549.740000,9.3030E-006,1549.740000,5.1940E-006,1549.740000,5.5680E-006,1549.740000,4.6420E-006,1549.740000,3.6460E-006,1549.740000,2.6780E-006,1549.740000,2.3460E-006,1549.740000,9.1300E-007,1549.740000,1.8770E-006,1549.740000,1.5180E-006
1549.755000,1.0420E-005,1549.755000,5.6780E-006,1549.755000,6.4260E-006,1549.755000,4.5190E-006,1549.755000,2.7940E-006,1549.755000,2.5240E-006,1549.755000,2.2700E-006,1549.755000,2.2760E-006,1549.755000,1.3360E-006,1549.755000,7.1360E-007
1549.770000,1.4870E-005,1549.770000,6.7300E-006,1549.770000,8.1490E-006,1549.770000,3.7260E-006,1549.770000,3.5890E-006,1549.770000,2.5240E-006,1549.770000,2.2170E-006,1549.770000,1.4140E-006,1549.770000,1.5200E-006,1549.770000,1.4000E-006
1549.785000,1.3560E-005,1549.785000,6.3560E-006,1549.785000,6.6460E-006,1549.785000,4.0600E-006,1549.785000,2.9270E-006,1549.785000,2.5130E-006,1549.785000,2.4070E-006,1549.785000,1.5400E-006,1549.785000,1.5090E-006,1549.785000,9.7110E-007
1549.800000,9.5360E-006,1549.800000,5.8870E-006,1549.800000,4.5210E-006,1549.800000,4.4200E-006,1549.800000,3.8190E-006,1549.800000,2.4880E-006,1549.800000,2.5620E-006,1549.800000,1.5830E-006,1549.800000,1.6580E-006,1549.800000,1.3290E-006
1549.815000,7.8800E-006,1549.815000,5.5700E-006,1549.815000,5.5800E-006,1549.815000,3.8190E-006,1549.815000,3.2530E-006,1549.815000,2.6970E-006,1549.815000,2.3800E-006,1549.815000,1.7140E-006,1549.815000,1.2770E-006,1549.815000,9.4910E-007
1549.830000,9.3890E-006,1549.830000,7.4000E-006,1549.830000,6.3970E-006,1549.830000,3.8560E-006,1549.830000,3.8120E-006,1549.830000,2.4580E-006,1549.830000,1.9970E-006,1549.830000,1.1970E-006,1549.830000,1.3900E-006,1549.830000,1.8070E-006
1549.845000,9.5610E-006,1549.845000,9.8060E-006,1549.845000,5.1440E-006,1549.845000,3.8620E-006,1549.845000,3.0830E-006,1549.845000,2.3780E-006,1549.845000,2.5700E-006,1549.845000,1.9280E-006,1549.845000,1.4970E-006,1549.845000,9.1230E-007
1549.860000,7.6790E-006,1549.860000,8.2550E-006,1549.860000,4.1450E-006,1549.860000,4.1790E-006,1549.860000,4.0690E-006,1549.860000,2.0840E-006,1549.860000,2.2700E-006,1549.860000,1.0400E-006,1549.860000,1.3330E-006,1549.860000,1.2930E-006
1549.875000,6.3900E-006,1549.875000,7.2960E-006,1549.875000,4.0610E-006,1549.875000,3.6810E-006,1549.875000,3.4860E-006,1549.875000,2.5000E-006,1549.875000,2.1580E-006,1549.875000,1.8790E-006,1549.875000,1.1260E-006,1549.875000,8.8950E-007
1549.890000,6.4540E-006,1549.890000,8.4160E-006,1549.890000,4.2360E-006,1549.890000,3.6380E-006,1549.890000,3.1060E-006,1549.890000,2.0080E-006,1549.890000,1.8640E-006,1549.890000,1.3620E-006,1549.890000,1.7610E-006,1549.890000,1.5220E-006
1549.905000,8.0400E-006,1549.905000,1.2350E-005,1549.905000,4.7600E-006,1549.905000,3.8920E-006,1549.905000,4.0230E-006,1549.905000,2.2320E-006,1549.905000,2.0960E-006,1549.905000,1.8780E-006,1549.905000,1.1520E-006,1549.905000,1.5340E-006
1549.920000,8.9350E-006,1549.920000,1.0730E-005,1549.920000,4.9390E-006,1549.920000,3.8330E-006,1549.920000,3.4000E-006,1549.920000,2.2190E-006,1549.920000,2.0370E-006,1549.920000,1.3060E-006,1549.920000,1.5670E-006,1549.920000,6.1730E-007
1549.935000,7.9150E-006,1549.935000,6.9750E-006,1549.935000,4.4710E-006,1549.935000,3.8980E-006,1549.935000,3.4890E-006,1549.935000,1.8240E-006,1549.935000,2.1560E-006,1549.935000,2.0710E-006,1549.935000,1.7460E-006,1549.935000,9.6830E-007
1549.950000,7.1470E-006,1549.950000,7.6980E-006,1549.950000,4.6370E-006,1549.950000,4.2150E-006,1549.950000,3.4230E-006,1549.950000,2.6100E-006,1549.950000,2.1770E-006,1549.950000,1.4620E-006,1549.950000,1.2700E-006,1549.950000,1.2570E-006
1549.965000,8.8360E-006,1549.965000,1.0070E-005,1549.965000,6.6250E-006,1549.965000,3.9150E-006,1549.965000,3.5330E-006,1549.965000,2.6120E-006,1549.965000,1.9090E-006,1549.965000,1.8910E-006,1549.965000,1.6500E-006,1549.965000,1.0360E-006
1549.980000,1.3370E-005,1549.980000,8.8610E-006,1549.980000,7.8690E-006,1549.980000,4.2510E-006,1549.980000,2.8780E-006,1549.980000,2.3270E-006,1549.980000,1.9280E-006,1549.980000,1.5940E-006,1549.980000,1.5850E-006,1549.980000,7.5200E-007
1549.995000,1.4980E-005,1549.995000,6.0760E-006,1549.995000,6.3270E-006,1549.995000,4.2590E-006,1549.995000,3.2770E-006,1549.995000,2.4560E-006,1549.995000,2.0580E-006,1549.995000,1.4640E-006,1549.995000,1.5300E-006,1549.995000,1.1010E-006
1550.010000,1.0240E-005,1550.010000,5.2560E-006,1550.010000,5.2290E-006,1550.010000,4.5260E-006,1550.010000,3.0530E-006,1550.010000,2.6520E-006,1550.010000,2.3800E-006,1550.010000,1.3470E-006,1550.010000,1.1600E-006,1550.010000,1.0690E-006
1550.025000,9.5080E-006,1550.025000,5.8270E-006,1550.025000,6.6880E-006,1550.025000,4.4450E-006,1550.025000,2.9650E-006,1550.025000,2.7660E-006,1550.025000,2.4260E-006,1550.025000,2.0540E-006,1550.025000,1.3350E-006,1550.025000,1.2210E-006
1550.040000,1.7590E-005,1550.040000,6.9120E-006,1550.040000,8.1100E-006,1550.040000,4.1030E-006,1550.040000,2.9160E-006,1550.040000,2.5490E-006,1550.040000,2.3690E-006,1550.040000,1.7480E-006,1550.040000,1.2450E-006,1550.040000,7.6680E-007
1550.055000,1.9260E-005,1550.055000,5.9430E-006,1550.055000,6.3950E-006,1550.055000,4.5660E-006,1550.055000,3.5390E-006,1550.055000,2.5930E-006,1550.055000,2.1180E-006,1550.055000,1.6330E-006,1550.055000,1.4230E-006,1550.055000,1.6490E-006
1550.070000,1.2470E-005,1550.070000,5.3410E-006,1550.070000,4.8870E-006,1550.070000,5.1060E-006,1550.070000,3.6030E-006,1550.070000,3.0370E-006,1550.070000,1.8410E-006,1550.070000,1.5060E-006,1550.070000,1.2400E-006,1550.070000,1.3000E-006
1550.085000,8.2550E-006,1550.085000,5.4130E-006,1550.085000,5.8010E-006,1550.085000,4.8170E-006,1550.085000,2.9610E-006,1550.085000,2.7870E-006,1550.085000,2.3760E-006,1550.085000,2.0250E-006,1550.085000,1.2820E-006,1550.085000,8.9270E-007
1550.100000,1.1150E-005,1550.100000,7.3660E-006,1550.100000,6.1310E-006,1550.100000,3.5670E-006,1550.100000,3.0580E-006,1550.100000,2.3400E-006,1550.100000,2.0730E-006,1550.100000,1.4250E-006,1550.100000,1.6930E-006,1550.100000,1.3730E-006
1550.115000,1.2840E-005,1550.115000,9.9170E-006,1550.115000,5.2960E-006,1550.115000,4.3800E-006,1550.115000,3.9070E-006,1550.115000,2.2090E-006,1550.115000,2.3140E-006,1550.115000,1.4490E-006,1550.115000,1.5710E-006,1550.115000,1.0960E-006
1550.130000,9.4970E-006,1550.130000,8.7710E-006,1550.130000,4.4220E-006,1550.130000,4.5420E-006,1550.130000,3.3640E-006,1550.130000,2.9500E-006,1550.130000,2.5300E-006,1550.130000,1.7520E-006,1550.130000,1.5220E-006,1550.130000,1.1460E-006
1550.145000,5.8690E-006,1550.145000,6.5380E-006,1550.145000,4.0880E-006,1550.145000,4.5510E-006,1550.145000,3.7250E-006,1550.145000,2.4940E-006,1550.145000,2.1810E-006,1550.145000,1.5320E-006,1550.145000,1.2120E-006,1550.145000,1.0270E-006
1550.160000,6.8300E-006,1550.160000,8.0230E-006,1550.160000,4.2890E-006,1550.160000,3.4420E-006,1550.160000,3.5500E-006,1550.160000,2.4920E-006,1550.160000,1.9240E-006,1550.160000,1.7770E-006,1550.160000,1.5690E-006,1550.160000,8.8450E-007
1550.175000,7.5710E-006,1550.175000,1.0900E-005,1550.175000,4.7980E-006,1550.175000,3.8520E-006,1550.175000,3.5520E-006,1550.175000,1.9940E-006,1550.175000,1.9860E-006,1550.175000,1.3670E-006,1550.175000,1.7250E-006,1550.175000,1.3150E-006
1550.190000,8.0670E-006,1550.190000,1.0550E-005,1550.190000,4.8490E-006,1550.190000,3.6450E-006,1550.190000,3.5730E-006,1550.190000,2.6440E-006,1550.190000,2.1620E-006,1550.190000,1.6510E-006,1550.190000,1.5170E-006,1550.190000,1.4970E-006
1550.205000,6.9860E-006,1550.205000,6.9690E-006,1550.205000,4.2890E-006,1550.205000,4.1010E-006,1550.205000,3.0490E-006,1550.205000,2.3690E-006,1550.205000,1.9510E-006,1550.205000,1.5330E-006,1550.205000,1.5600E-006,1550.205000,7.5560E-007
1550.220000,6.5850E-006,1550.220000,6.6920E-006,1550.220000,4.6520E-006,1550.220000,3.6150E-006,1550.220000,3.2140E-006,1550.220000,2.7620E-006,1550.220000,2.3290E-006,1550.220000,1.5570E-006,1550.220000,1.5510E-006,1550.220000,1.0770E-006
1550.235000,7.4700E-006,1550.235000,8.4640E-006,1550.235000,5.6550E-006,1550.235000,3.2900E-006,1550.235000,3.7530E-006,1550.235000,2.5170E-006,1550.235000,2.3990E-006,1550.235000,1.9690E-006,1550.235000,1.2800E-006,1550.235000,1.1900E-006
1550.250000,1.2300E-005,1550.250000,8.0440E-006,1550.250000,6.0440E-006,1550.250000,4.0330E-006,1550.250000,3.5370E-006,1550.250000,2.0420E-006,1550.250000,2.2420E-006,1550.250000,1.6520E-006,1550.250000,1.6100E-006,1550.250000,8.3230E-007
1550.265000,1.3060E-005,1550.265000,6.2280E-006,1550.265000,5.9720E-006,1550.265000,3.7690E-006,1550.265000,3.2600E-006,1550.265000,2.9100E-006,1550.265000,2.1450E-006,1550.265000,1.6230E-006,1550.265000,1.5010E-006,1550.265000,1.2020E-006
1550.280000,9.3960E-006,1550.280000,5.2390E-006,1550.280000,5.2200E-006,1550.280000,5.0030E-006,1550.280000,3.3640E-006,1550.280000,2.6920E-006,1550.280000,2.0050E-006,1550.280000,1.8980E-006,1550.280000,1.7600E-006,1550.280000,9.2880E-007
1550.295000,9.2750E-006,1550.295000,6.0270E-006,1550.295000,6.5590E-006,1550.295000,4.7370E-006,1550.295000,2.9160E-006,1550.295000,3.0770E-006,1550.295000,2.1430E-006,1550.295000,1.6450E-006,1550.295000,1.0110E-006,1550.295000,9.4360E-007
1550.310000,1.4290E-005,1550.310000,5.9890E-006,1550.310000,7.0090E-006,1550.310000,4.1430E-006,1550.310000,3.4860E-006,1550.310000,2.6270E-006,1550.310000,1.8510E-006,1550.310000,1.4100E-006,1550.310000,1.4510E-006,1550.310000,1.2980E-006
1550.325000,1.5900E-005,1550.325000,6.3710E-006,1550.325000,6.8850E-006,1550.325000,4.9100E-006,1550.325000,3.1780E-006,1550.325000,2.9750E-006,1550.325000,1.7900E-006,1550.325000,1.8970E-006,1550.325000,1.4010E-006,1550.325000,8.2700E-007
1550.340000,1.0730E-005,1550.340000,4.7130E-006,1550.340000,5.2290E-006,1550.340000,4.8110E-006,1550.340000,3.2980E-006,1550.340000,2.9330E-006,1550.340000,2.1450E-006,1550.340000,1.6270E-006,1550.340000,1.7350E-006,1550.340000,1.2550E-006
1550.355000,8.1910E-006,1550.355000,4.8640E-006,1550.355000,5.4180E-006,1550.355000,5.7980E-006,1550.355000,3.4580E-006,1550.355000,3.3380E-006,1550.355000,1.9860E-006,1550.355000,2.0350E-006,1550.355000,1.0950E-006,1550.355000,8.3940E-007
1550.370000,1.0540E-005,1550.370000,5.0500E-006,1550.370000,6.2780E-006,1550.370000,4.3120E-006,1550.370000,3.2040E-006,1550.370000,2.4260E-006,1550.370000,2.2810E-006,1550.370000,1.5500E-006,1550.370000,1.7530E-006,1550.370000,1.5000E-006
1550.385000,1.0890E-005,1550.385000,6.8490E-006,1550.385000,5.5970E-006,1550.385000,4.0840E-006,1550.385000,3.1490E-006,1550.385000,2.5850E-006,1550.385000,1.8560E-006,1550.385000,1.7130E-006,1550.385000,1.9740E-006,1550.385000,1.0940E-006
1550.400000,8.5170E-006,1550.400000,6.3220E-006,1550.400000,4.4090E-006,1550.400000,4.7670E-006,1550.400000,3.8600E-006,1550.400000,2.7600E-006,1550.400000,2.1750E-006,1550.400000,1.6870E-006,1550.400000,1.2500E-006,1550.400000,8.8680E-007
1550.415000,7.0710E-006,1550.415000,5.8190E-006,1550.415000,4.3670E-006,1550.415000,4.8980E-006,1550.415000,3.3180E-006,1550.415000,2.9210E-006,1550.415000,2.2810E-006,1550.415000,1.7250E-006,1550.415000,1.6760E-006,1550.415000,1.1250E-006
1550.430000,6.3330E-006,1550.430000,5.9100E-006,1550.430000,3.8680E-006,1550.430000,4.3460E-006,1550.430000,4.1850E-006,1550.430000,2.3210E-006,1550.430000,2.3710E-006,1550.430000,2.1850E-006,1550.430000,1.6840E-006,1550.430000,1.2010E-006
1550.445000,7.7220E-006,1550.445000,8.3390E-006,1550.445000,4.6040E-006,1550.445000,4.0480E-006,1550.445000,3.6720E-006,1550.445000,2.2740E-006,1550.445000,1.9480E-006,1550.445000,1.1710E-006,1550.445000,1.5460E-006,1550.445000,1.1260E-006
1550.460000,7.9630E-006,1550.460000,8.7790E-006,1550.460000,4.3100E-006,1550.460000,4.0330E-006,1550.460000,4.1580E-006,1550.460000,1.7910E-006,1550.460000,2.1620E-006,1550.460000,1.3900E-006,1550.460000,1.5950E-006,1550.460000,1.4410E-006
1550.475000,7.2860E-006,1550.475000,6.5740E-006,1550.475000,3.9320E-006,1550.475000,3.9840E-006,1550.475000,3.5890E-006,1550.475000,2.3230E-006,1550.475000,1.9470E-006,1550.475000,2.0400E-006,1550.475000,1.7280E-006,1550.475000,1.0870E-006
1550.490000,6.4730E-006,1550.490000,5.9020E-006,1550.490000,4.3100E-006,1550.490000,3.6990E-006,1550.490000,3.8030E-006,1550.490000,2.2910E-006,1550.490000,2.1080E-006,1550.490000,1.4290E-006,1550.490000,1.2940E-006,1550.490000,1.3910E-006
1550.505000,7.2310E-006,1550.505000,8.4450E-006,1550.505000,4.8280E-006,1550.505000,4.2380E-006,1550.505000,4.1600E-006,1550.505000,3.0390E-006,1550.505000,2.0730E-006,1550.505000,1.7290E-006,1550.505000,1.4160E-006,1550.505000,9.3030E-007
1550.520000,9.2380E-006,1550.520000,8.4240E-006,1550.520000,5.4180E-006,1550.520000,3.8110E-006,1550.520000,3.6460E-006,1550.520000,1.8710E-006,1550.520000,2.3350E-006,1550.520000,1.6430E-006,1550.520000,1.7530E-006,1550.520000,9.7680E-007
1550.535000,1.0420E-005,1550.535000,6.3350E-006,1550.535000,5.5250E-006,1550.535000,4.5090E-006,1550.535000,3.7390E-006,1550.535000,2.5280E-006,1550.535000,2.0630E-006,1550.535000,1.5700E-006,1550.535000,1.3570E-006,1550.535000,8.7180E-007
1550.550000,8.4560E-006,1550.550000,5.4280E-006,1550.550000,4.5380E-006,1550.550000,4.7220E-006,1550.550000,3.4280E-006,1550.550000,2.9130E-006,1550.550000,2.0290E-006,1550.550000,1.5830E-006,1550.550000,1.9710E-006,1550.550000,1.4230E-006
1550.565000,7.8490E-006,1550.565000,5.6800E-006,1550.565000,5.4050E-006,1550.565000,4.6930E-006,1550.565000,3.6480E-006,1550.565000,2.8340E-006,1550.565000,2.1220E-006,1550.565000,2.0560E-006,1550.565000,1.0620E-006,1550.565000,1.1940E-006
1550.580000,1.0820E-005,1550.580000,6.3710E-006,1550.580000,6.2970E-006,1550.580000,4.5170E-006,1550.580000,3.3910E-006,1550.580000,2.8980E-006,1550.580000,1.8950E-006,1550.580000,1.6910E-006,1550.580000,1.3600E-006,1550.580000,1.0480E-006
1550.595000,1.3670E-005,1550.595000,5.4310E-006,1550.595000,5.7170E-006,1550.595000,5.0780E-006,1550.595000,3.1020E-006,1550.595000,2.7910E-006,1550.595000,2.1660E-006,1550.595000,1.8460E-006,1550.595000,1.4770E-006,1550.595000,8.8110E-007
1550.610000,1.0760E-005,1550.610000,4.9150E-006,1550.610000,4.6780E-006,1550.610000,5.6280E-006,1550.610000,3.2580E-006,1550.610000,3.3260E-006,1550.610000,2.1710E-006,1550.610000,2.1040E-006,1550.610000,1.5820E-006,1550.610000,9.1940E-007
1550.625000,8.0470E-006,1550.625000,4.5950E-006,1550.625000,5.3720E-006,1550.625000,5.3060E-006,1550.625000,3.0760E-006,1550.625000,2.8940E-006,1550.625000,2.2000E-006,1550.625000,1.6770E-006,1550.625000,1.6890E-006,1550.625000,1.0620E-006
1550.640000,9.9550E-006,1550.640000,5.4610E-006,1550.640000,5.6340E-006,1550.640000,5.0670E-006,1550.640000,3.4080E-006,1550.640000,2.9700E-006,1550.640000,1.9070E-006,1550.640000,2.0600E-006,1550.640000,1.3250E-006,1550.640000,8.5880E-007
1550.655000,1.1740E-005,1550.655000,6.0300E-006,1550.655000,6.0240E-006,1550.655000,4.3350E-006,1550.655000,3.7980E-006,1550.655000,2.6380E-006,1550.655000,2.5030E-006,1550.655000,1.6250E-006,1550.655000,1.8590E-006,1550.655000,9.5130E-007
1550.670000,9.8940E-006,1550.670000,5.6490E-006,1550.670000,4.0520E-006,1550.670000,5.2340E-006,1550.670000,3.3340E-006,1550.670000,2.8390E-006,1550.670000,2.1640E-006,1550.670000,1.8870E-006,1550.670000,1.6730E-006,1550.670000,1.1680E-006
1550.685000,6.9930E-006,1550.685000,5.1540E-006,1550.685000,4.4180E-006,1550.685000,5.2180E-006,1550.685000,3.4850E-006,1550.685000,3.0910E-006,1550.685000,2.2300E-006,1550.685000,2.1370E-006,1550.685000,1.4360E-006,1550.685000,8.4470E-007
1550.700000,7.3250E-006,1550.700000,5.7000E-006,1550.700000,4.6140E-006,1550.700000,4.6420E-006,1550.700000,4.0050E-006,1550.700000,2.4770E-006,1550.700000,2.0800E-006,1550.700000,1.7080E-006,1550.700000,1.1990E-006,1550.700000,1.4070E-006
1550.715000,7.9620E-006,1550.715000,7.4750E-006,1550.715000,3.8950E-006,1550.715000,4.0600E-006,1550.715000,4.4050E-006,1550.715000,2.7080E-006,1550.715000,2.8960E-006,1550.715000,1.5820E-006,1550.715000,1.8870E-006,1550.715000,1.2200E-006
1550.730000,6.9230E-006,1550.730000,6.8550E-006,1550.730000,4.4240E-006,1550.730000,4.4680E-006,1550.730000,4.1000E-006,1550.730000,2.2320E-006,1550.730000,2.2830E-006,1550.730000,1.6640E-006,1550.730000,1.5730E-006,1550.730000,8.2940E-007
1550.745000,6.3750E-006,1550.745000,5.6870E-006,1550.745000,3.4910E-006,1550.745000,4.5680E-006,1550.745000,3.8890E-006,1550.745000,2.4920E-006,1550.745000,2.2550E-006,1550.745000,1.8370E-006,1550.745000,2.1240E-006,1550.745000,1.4440E-006
1550.760000,5.9310E-006,1550.760000,6.7140E-006,1550.760000,4.5360E-006,1550.760000,4.1070E-006,1550.760000,3.7600E-006,1550.760000,2.8030E-006,1550.760000,2.0790E-006,1550.760000,1.5410E-006,1550.760000,1.4330E-006,1550.760000,1.0560E-006
1550.775000,6.2540E-006,1550.775000,7.5110E-006,1550.775000,3.9140E-006,1550.775000,3.4420E-006,1550.775000,4.7500E-006,1550.775000,2.1560E-006,1550.775000,2.3310E-006,1550.775000,1.4100E-006,1550.775000,1.6220E-006,1550.775000,1.0370E-006
1550.790000,7.1010E-006,1550.790000,6.8640E-006,1550.790000,5.0590E-006,1550.790000,3.7100E-006,1550.790000,4.1510E-006,1550.790000,2.4900E-006,1550.790000,2.2870E-006,1550.790000,1.8210E-006,1550.790000,1.7460E-006,1550.790000,1.2720E-006
1550.805000,7.2790E-006,1550.805000,5.6350E-006,1550.805000,4.3080E-006,1550.805000,4.3820E-006,1550.805000,3.0580E-006,1550.805000,2.4900E-006,1550.805000,2.1260E-006,1550.805000,1.8040E-006,1550.805000,1.5890E-006,1550.805000,9.0920E-007
1550.820000,6.8700E-006,1550.820000,5.9130E-006,1550.820000,5.0130E-006,1550.820000,4.7690E-006,1550.820000,3.0750E-006,1550.820000,3.1380E-006,1550.820000,2.1900E-006,1550.820000,1.7920E-006,1550.820000,1.3330E-006,1550.820000,1.0120E-006
1550.835000,6.9320E-006,1550.835000,6.4530E-006,1550.835000,4.9470E-006,1550.835000,4.7990E-006,1550.835000,4.0340E-006,1550.835000,2.6980E-006,1550.835000,2.3570E-006,1550.835000,1.7150E-006,1550.835000,1.7710E-006,1550.835000,7.2850E-007
1550.850000,9.1560E-006,1550.850000,5.8050E-006,1550.850000,4.7820E-006,1550.850000,4.5360E-006,1550.850000,3.2320E-006,1550.850000,3.0240E-006,1550.850000,2.2060E-006,1550.850000,1.8820E-006,1550.850000,1.5580E-006,1550.850000,1.3370E-006
1550.865000,9.2570E-006,1550.865000,5.2580E-006,1550.865000,5.0320E-006,1550.865000,4.4580E-006,1550.865000,3.4540E-006,1550.865000,2.6170E-006,1550.865000,2.1410E-006,1550.865000,1.9670E-006,1550.865000,1.3950E-006,1550.865000,8.0560E-007
1550.880000,8.5030E-006,1550.880000,5.0510E-006,1550.880000,4.9850E-006,1550.880000,5.6990E-006,1550.880000,2.6240E-006,1550.880000,3.0110E-006,1550.880000,2.1750E-006,1550.880000,2.3230E-006,1550.880000,1.7170E-006,1550.880000,1.1300E-006
1550.895000,7.7730E-006,1550.895000,4.6570E-006,1550.895000,5.4170E-006,1550.895000,5.7010E-006,1550.895000,3.7570E-006,1550.895000,3.2270E-006,1550.895000,1.7870E-006,1550.895000,1.9220E-006,1550.895000,1.3230E-006,1550.895000,9.8100E-007
1550.910000,9.9990E-006,1550.910000,5.4680E-006,1550.910000,5.2200E-006,1550.910000,4.9370E-006,1550.910000,3.1910E-006,1550.910000,3.0370E-006,1550.910000,2.8440E-006,1550.910000,1.5500E-006,1550.910000,1.4420E-006,1550.910000,1.0050E-006
1550.925000,9.3590E-006,1550.925000,4.7880E-006,1550.925000,5.6020E-006,1550.925000,4.9220E-006,1550.925000,4.0000E-006,1550.925000,2.4500E-006,1550.925000,2.1130E-006,1550.925000,2.2020E-006,1550.925000,1.7830E-006,1550.925000,1.0170E-006
1550.940000,8.5560E-006,1550.940000,5.0550E-006,1550.940000,4.7760E-006,1550.940000,5.0340E-006,1550.940000,3.2700E-006,1550.940000,3.6280E-006,1550.940000,2.3460E-006,1550.940000,1.7290E-006,1550.940000,1.4830E-006,1550.940000,9.7420E-007
1550.955000,7.8510E-006,1550.955000,5.0210E-006,1550.955000,5.0510E-006,1550.955000,5.5830E-006,1550.955000,3.5240E-006,1550.955000,2.2420E-006,1550.955000,1.9430E-006,1550.955000,2.3530E-006,1550.955000,1.3970E-006,1550.955000,1.3660E-006
1550.970000,7.9930E-006,1550.970000,4.9110E-006,1550.970000,4.6610E-006,1550.970000,4.4050E-006,1550.970000,3.8160E-006,1550.970000,3.3060E-006,1550.970000,2.7230E-006,1550.970000,1.5690E-006,1550.970000,1.9370E-006,1550.970000,9.1240E-007
1550.985000,7.4380E-006,1550.985000,5.6800E-006,1550.985000,4.5000E-006,1550.985000,4.6270E-006,1550.985000,4.6590E-006,1550.985000,1.7930E-006,1550.985000,2.2320E-006,1550.985000,1.7120E-006,1550.985000,1.8030E-006,1550.985000,1.3310E-006
1551.000000,6.9360E-006,1551.000000,5.3980E-006,1551.000000,4.4110E-006,1551.000000,4.0720E-006,1551.000000,4.6080E-006,1551.000000,2.8040E-006,1551.000000,2.7150E-006,1551.000000,1.7490E-006,1551.000000,1.7550E-006,1551.000000,1.1420E-006
1551.015000,6.5980E-006,1551.015000,5.6760E-006,1551.015000,4.1890E-006,1551.015000,4.5150E-006,1551.015000,4.3990E-006,1551.015000,2.7410E-006,1551.015000,2.3110E-006,1551.015000,1.3220E-006,1551.015000,1.7150E-006,1551.015000,1.4120E-006
1551.030000,6.1950E-006,1551.030000,5.9600E-006,1551.030000,4.3260E-006,1551.030000,3.9300E-006,1551.030000,3.6440E-006,1551.030000,2.4260E-006,1551.030000,2.6500E-006,1551.030000,1.8130E-006,1551.030000,1.8910E-006,1551.030000,7.3800E-007
1551.045000,6.7990E-006,1551.045000,6.8690E-006,1551.045000,4.2590E-006,1551.045000,3.6530E-006,1551.045000,5.1850E-006,1551.045000,2.4470E-006,1551.045000,1.8920E-006,1551.045000,1.3130E-006,1551.045000,1.1410E-006,1551.045000,1.3440E-006
1551.060000,6.2760E-006,1551.060000,7.1720E-006,1551.060000,4.2380E-006,1551.060000,4.2970E-006,1551.060000,5.0940E-006,1551.060000,2.1180E-006,1551.060000,2.7270E-006,1551.060000,1.8520E-006,1551.060000,2.0440E-006,1551.060000,1.3610E-006
1551.075000,6.3250E-006,1551.075000,6.3420E-006,1551.075000,3.8880E-006,1551.075000,3.8880E-006,1551.075000,3.6190E-006,1551.075000,2.6970E-006,1551.075000,1.9910E-006,1551.075000,1.8090E-006,1551.075000,1.4020E-006,1551.075000,1.2050E-006
1551.090000,6.5580E-006,1551.090000,6.5110E-006,1551.090000,4.5720E-006,1551.090000,4.7880E-006,1551.090000,3.3520E-006,1551.090000,2.8050E-006,1551.090000,2.2600E-006,1551.090000,1.4320E-006,1551.090000,1.3250E-006,1551.090000,1.5480E-006
1551.105000,6.6040E-006,1551.105000,7.0960E-006,1551.105000,4.7270E-006,1551.105000,4.6590E-006,1551.105000,4.3940E-006,1551.105000,2.6480E-006,1551.105000,2.1780E-006,1551.105000,2.0920E-006,1551.105000,1.8660E-006,1551.105000,6.7170E-007
